¤u¼t¦WºÙ,¤u¼tµn°O½s¸¹,¤u¼t³]¥ß³\¥i®×¸¹,¤u¼t¦a§},¤u¼t¥«Âí¶m§ø¨½,¤u¼t­t³d¤H©m¦W,²Î¤@½s¸¹,¤u¼t²ÕÂ´«¬ºA,¤u¼t³]¥ß®Ö­ã¤é´Á,¤u¼tµn°O®Ö­ã¤é´Á,¤u¼tµn°Oª¬ºA,²£·~Ãþ§O,¥D­n²£«~
¤Ó¥­¬v¹q½u¹qÆlªÑ¥÷¦³­­¤½¥q·¨±ö¤u¼t,68000456,,®ç¶é¥«·¨±ö°Ï·sºa¨½§Ö³t¸ô5¬q858¸¹,®ç¶é¥«·¨±ö°Ï·sºa¨½,¤ý¬K«°,3064800,ªÑ¥÷¦³­­¤½¥q,,1050112,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,283¹q½u¤Î°t½u¾¹§÷¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ
®æ¦t¦³­­¤½¥q,65010503,,·s¥_¥«Åaºq°Ï¥Ã©÷¨½Åa®ç¸ô91«Ñ3¤§2¸¹,·s¥_¥«Åaºq°Ï¥Ã©÷¨½,¤ý¶®¿·,89770163,¦³­­¤½¥q,,1110712,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ¡B293³q¥Î¾÷±ñ³]³Æ
Á~ºaÀô«OªÑ¥÷¦³­­¤½¥q,4000622,,·s¦Ë¿¤·sÂ×¶m®H©M§ø19¾F®H³»237-3¸¹,·s¦Ë¿¤·sÂ×¶m®H©M§ø,³¢¹F¹£,56924201,ªÑ¥÷¦³­­¤½¥q,,1061206,¥Í²£¤¤,14¤ì¦Ë»s«~»s³y·~¡B22¶ì½¦»s«~»s³y·~¡B24°ò¥»ª÷ÄÝ»s³y·~¡B18¤Æ¾Ç§÷®Æ¤ÎªÎ®Æ»s³y·~,140¤ì¦Ë»s«~¡B220¶ì½¦»s«~¡B241¿ûÅK¡B183ªÎ®Æ¤Î´á¤Æ¦Xª«
¶³º~ÅJ®gºë±K¤u·~ªÑ¥÷¦³­­¤½¥q¥Á¦w¼t,99610903,8.81E+12,·s¥_¥«·s²ø°Ï¦è²±¨½¥Á¦w¸ô¥|¤G¤E«Ñ¤@¢¯¸¹,·s¥_¥«·s²ø°Ï¦è²±¨½,®L¶³³ß,89865442,ªÑ¥÷¦³­­¤½¥q,880219,880309,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~¡B28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B264¥ú¹q§÷®Æ¤Î¤¸¥ó¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B283¹q½u¤Î°t½u¾¹§÷¡B289¨ä¥L¹q¤O³]³Æ¤Î°t³Æ
ÂE©M¿³ºë±K¤u·~ªÑ¥÷¦³­­¤½¥q¤@¼t,66005094,,»O¤¤¥«¤j¨½°Ï·s¤¯¨½·s¤¯¥|µó7¸¹¤@¼Ó,»O¤¤¥«¤j¨½°Ï·s¤¯¨½,¶À¥°©¾,53599765,ªÑ¥÷¦³­­¤½¥q,,1051216,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó¡B253ª÷ÄÝ®e¾¹
²ÎªY¥Íª«¬ì§ÞªÑ¥÷¦³­­¤½¥q,67003360,,»O«n¥«¦w«n°Ï¶ý¯ª®c¨½¬ì§Þ¤­¸ô71¸¹3¼Ó,»O«n¥«¦w«n°Ï¶ý¯ª®c¨½,²ø§µ¹ü,27443160,ªÑ¥÷¦³­­¤½¥q,,1110627,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
°êÂ×¥ø·~ªÑ¥÷¦³­­¤½¥q,99657031,5.91E+12,»O«n¥««á¾À°Ï¤W­XÐ¤¨½¤W­XÐ¤1¸¹,»O«n¥««á¾À°Ï¤W­XÐ¤¨½,½²±iÄRÀR¡@¡@,71455282,ªÑ¥÷¦³­­¤½¥q,591104,600209,¥Í²£¤¤,33¨ä¥L»s³y·~,339¥¼¤ÀÃþ¨ä¥L»s«~
¦w¤[¤ì·~®a¨ã¦³­­¤½¥q´ò¤f¼t,4001069,,·s¦Ë¿¤´ò¤f¶mªøÀ­§øªø´I¸ô¤G¬q132«Ñ35¸¹,·s¦Ë¿¤´ò¤f¶mªøÀ­§ø,ªL»È­s,50965231,¦³­­¤½¥q,,1110629,¥Í²£¤¤,32®a¨ã»s³y·~,321«Dª÷ÄÝ®a¨ã
¥@°ò¥Íª«Âå¾ÇªÑ¥÷¦³­­¤½¥q¥x¥_¼t,63022256,,»O¥_¥«¤º´ò°Ï´ò¤¸¨½ÂÂ©v¸ô¤G¬q¤@¤C¤@«Ñ¤Q¤C¸¹¥|¼Ó,»O¥_¥«¤º´ò°Ï´ò¤¸¨½,¸â´I¿·,27953682,ªÑ¥÷¦³­­¤½¥q,,1010816,¥Í²£¤¤,20ÃÄ«~¤ÎÂå¥Î¤Æ¾Ç»s«~»s³y·~,200ÃÄ«~¤ÎÂå¥Î¤Æ¾Ç»s«~
µÏ©ô¥ø·~ªÀ,68003117,,®ç¶é¥«·s«Î°ÏªÀ¤l¨½ªÀ¤l¸ô92«Ñ92§Ë72¸¹(1¼Ó),®ç¶é¥«·s«Î°ÏªÀ¤l¨½,½²´¼¥þ,82749567,¿W¸ê,,1081218,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
§»¶©¤u·~ªÀ,S0700781,,¹ü¤Æ¿¤¥Ã¹t¶m±[¤l§ø¤E¤À¸ô366«Ñ401¸¹,¹ü¤Æ¿¤¥Ã¹t¶m±[¤l§ø,¸â¬K­»,6021609,¿W¸ê,,1090707,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,220¶ì½¦»s«~¡B259¨ä¥Lª÷ÄÝ»s«~
§dªøª@¨Æ·~¦³­­¤½¥q¤G¼t,S0701225,,¹ü¤Æ¿¤½u¦è¶m¼w¿³§ø¿³¹A¸ô305«Ñ16¸¹,¹ü¤Æ¿¤½u¦è¶m¼w¿³§ø,®]¶®ªÚ,97259216,¦³­­¤½¥q,,1090903,¥Í²£¤¤,11¯¼Â´·~,111¯¼¯½
¨¶±o¤u·~¦³­­¤½¥q¤G¼t,S0700030,,¹ü¤Æ¿¤¥Ã¹t¶m±[¤l§ø¦Û±j¸ô150«Ñ36¸¹,¹ü¤Æ¿¤¥Ã¹t¶m±[¤l§ø,¶À±X­«,27304863,¦³­­¤½¥q,,1090423,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
±Ò¨Î¾÷±ñ¦³­­¤½¥q,68004983,,®ç¶é¥«Àt¤s°Ï¤j§|¨½«n¤W¸ô520«Ñ28§Ë45¸¹¡]1¼Ó¡^,®ç¶é¥«Àt¤s°Ï¤j§|¨½,±i§Ó±j,42566577,¦³­­¤½¥q,,1110725,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¤j¥ß¥ú¹qªÑ¥÷¦³­­¤½¥q¤@¥Ò¼t,66002634,,»O¤¤¥«¦è¤Ù°Ï¨ó©M¨½¤u·~°Ï¤Q¤»¸ô6¸¹¦a¤U¤@¼Ó¡B¤@¼Ó¡B¤G¼Ó,»O¤¤¥«¦è¤Ù°Ï¨ó©M¨½,ªL®¦¥­,22480876,ªÑ¥÷¦³­­¤½¥q,,1030409,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,277¥ú¾Ç»ö¾¹¤Î³]³Æ
¯«´ä²î²íªÑ¥÷¦³­­¤½¥qªø¬K¼t,64005588,8.66401E+12,°ª¶¯¥«¤p´ä°Ï¤p´ä¨½ªø¬Kµó2¸¹,°ª¶¯¥«¤p´ä°Ï¤p´ä¨½,À¹¥ú«Ø,76352166,ªÑ¥÷¦³­­¤½¥q,861009,880720,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,284·Ó©ú³]³Æ¤Î°t³Æ
½Y»ö¬ì§ÞªÑ¥÷¦³­­¤½¥q¤¤©M¼t,65009644,,·s¥_¥«¤¤©M°ÏºÑªe¨½«Ø±d¸ô119¸¹7¼Ó,·s¥_¥«¤¤©M°ÏºÑªe¨½,§õ©ú,84469443,ªÑ¥÷¦³­­¤½¥q,,1100803,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,271¹q¸£¤Î¨ä¶gÃä³]³Æ¡B275¶q´ú¡B¾É¯è¡B±±¨î³]³Æ¤ÎÄÁ¿ö¡B276¿ç®g¤Î¹q¤lÂå¾Ç³]³Æ
¥Ã©T¤u·~ªÀ,S0700657,,¹ü¤Æ¿¤®HÆQ¶m®HÆQ§ø¹ü¤ô¸ô¤G¬q169«Ñ42¸¹,¹ü¤Æ¿¤®HÆQ¶m®HÆQ§ø,§d§Ó§»,13292748,¿W¸ê,,1090615,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
©Ó¥°¤u·~ªÀ,99649099,8.21001E+12,¹ü¤Æ¿¤¥Ã¹t¶m´°«p§ø¿W÷´¸ô¢°¬q¢°¢°¢µ¸¹,¹ü¤Æ¿¤¥Ã¹t¶m´°«p§ø,½²ëHÂE,99656232,¿W¸ê,821106,841009,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ¡B293³q¥Î¾÷±ñ³]³Æ
ªQ¹©¤u·~ªÑ¥÷¦³­­¤½¥q,17000039,,°ò¶©¥«¦w¼Ö°Ï¤º¼d¨½ªZ°Vµó96¸¹,°ò¶©¥«¦w¼Ö°Ï¤º¼d¨½,¸­ªøªQ,86526047,ªÑ¥÷¦³­­¤½¥q,,1020703,¥Í²£¤¤,24°ò¥»ª÷ÄÝ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,241¿ûÅK¡B251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B293³q¥Î¾÷±ñ³]³Æ
ºÖ·~¹q¤lªÑ¥÷¦³­­¤½¥qÆ[­µ¼t,99717634,,®ç¶é¥«Æ[­µ°Ï¯óºª¨½¤j¦P¤G¸ô¢´¸¹,®ç¶é¥«Æ[­µ°Ï¯óºª¨½,§õ°ö¨},22424220,ªÑ¥÷¦³­­¤½¥q,,980407,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¤Ñ±o¬ì§ÞªÑ¥÷¦³­­¤½¥q,99629485,,®ç¶é¥«·¨±ö°Ï­û¥»¨½¥Á´I¸ô¤T¬q132¤§1¸¹¤Î¥Á´I¸ô¤T¬q142«Ñ12¸¹,®ç¶é¥«·¨±ö°Ï­û¥»¨½,³¯ÀA©÷,36351140,ªÑ¥÷¦³­­¤½¥q,,920123,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~¡B28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,220¶ì½¦»s«~¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B283¹q½u¤Î°t½u¾¹§÷¡B289¨ä¥L¹q¤O³]³Æ¤Î°t³Æ
»OÆQ¹ê·~ªÑ¥÷¦³­­¤½¥q¥Í§Þ¤G¼t,99673155,8.91E+12,»O«n¥«¦w«n°ÏÆQ¥Ð¨½¤u·~¤G¸ô20¸¹,»O«n¥«¦w«n°Ï,§õ©ú¹F,89397503,ªÑ¥÷¦³­­¤½¥q,890510,900814,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
´I¶®ÄRºû¦³­­¤½¥q,65010485,,·s¥_¥«·s²ø°Ï´I°ê¨½ºÖÀç¸ô292¸¹(2¼Ó),·s¥_¥«·s²ø°Ï´I°ê¨½,­³¦ã¨°,90832321,¦³­­¤½¥q,,1110704,¥Í²£¤¤,15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~¡B16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~,152¥Ë·«¯ÈªO¤Î¯È®e¾¹¡B160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s
«eªY¹ê·~¦³­­¤½¥q,99688033,,®ç¶é¥«¥­Âí°Ï¥­«n¨½¤¤Â×¸ô«n¶Õ¤G¬q¥|¤»¢¯«Ñ¤E¤K¸¹,®ç¶é¥«¥­Âí°Ï¥­«n¨½,¤ý¿³¥þ,16339942,¦³­­¤½¥q,,931108,¥Í²£¤¤,11¯¼Â´·~,112Â´¥¬
±XÃÃ¤u·~ªÑ¥÷¦³­­¤½¥q,99633096,7.21001E+12,»O¤¤¥«¤j¶®°Ï¤W·¬¨½¥Á¥Í¸ô¤T¬q269¸¹,»O¤¤¥«¤j¶®°Ï¤W·¬¨½,³¯¯C´Ü,55910708,ªÑ¥÷¦³­­¤½¥q,720302,,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,254ª÷ÄÝ¥[¤u³B²z¡B259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
®õª÷¥ø·~¦³­­¤½¥q,99611434,8.21E+12,·s¥_¥«·s²ø°ÏÀY«e¨½¤Æ¦¨¸ô¤T¤@¥|«Ñ¤G¤G¸¹,·s¥_¥«·s²ø°ÏÀY«e¨½,³¯¤å³¹,22521320,¦³­­¤½¥q,821029,821120,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
ÄËÂï¥ø·~¦³­­¤½¥q¤G¼t,99722329,,®ç¶é¥«Äª¦Ë°Ïªø¿³¨½«n®r¸ô¤G¬q228«Ñ128§Ë2¸¹,®ç¶é¥«Äª¦Ë°Ïªø¿³¨½,³\¤ë®Z,16990160,¦³­­¤½¥q,,990128,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,263¦L¨ê¹q¸ôªO
µÏÑÔ¤u·~ªÑ¥÷¦³­­¤½¥q,3001497,,®ç¶é¥«¤j¶é°Ï¥Ð¤ß¨½¤jÆ[¸ô285¸¹,®ç¶é¥«¤j¶é°Ï¥Ð¤ß¨½,ªL°û¯u,35963847,ªÑ¥÷¦³­­¤½¥q,,1020109,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,281µo¹q¡B¿é¹q¤Î°t¹q¾÷±ñ¡B283¹q½u¤Î°t½u¾¹§÷¡B285®a¥Î¹q¾¹¡B293³q¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó¡B319¥¼¤ÀÃþ¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó
­ì¾W¤u·~ªÑ¥÷¦³­­¤½¥q,99669484,8.21E+12,»O¤¤¥«¦è¤Ù°Ï¨ó©M¨½¤u·~°Ï¤T¤Q¤­¸ô62¸¹,»O¤¤¥«¦è¤Ù°Ï¨ó©M¨½,³¯¥K¾±,22985138,ªÑ¥÷¦³­­¤½¥q,821027,821215,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s
¥xÆWºë´ï¬ì§Þ¦³­­¤½¥q,66009843,,»O¤¤¥«¦è¤Ù°Ï¦ó¤¯¨½¥ÌµÂ¸ô¤G¬q36¸¹,»O¤¤¥«¦è¤Ù°Ï¦ó¤¯¨½,¿à©uºd,90549330,¦³­­¤½¥q,,1110309,¥Í²£¤¤,33¨ä¥L»s³y·~¡B11¯¼Â´·~,332ÂåÀø¾¹§÷¤Î¥Î«~¡B115¯¼Â´«~
µá¤O©T¹ê·~¦³­­¤½¥q,66008681,,»O¤¤¥«·sªÀ°Ï¤¤¥¿¨½¤¤©Mµó¤­¬q33«Ñ16¸¹,»O¤¤¥«·sªÀ°Ï¤¤¥¿¨½,¶À«a¤å,61932069,¦³­­¤½¥q,,1091117,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
©¾¼y¤ò¨ê¶}µoªÑ¥÷¦³­­¤½¥q,99725787,,·s¥_¥«·s²ø°Ï¦è²±¨½¥Á¦w¦è¸ô430¸¹1¼Ó,·s¥_¥«·s²ø°Ï¦è²±¨½,³¯¼y®b,16661202,ªÑ¥÷¦³­­¤½¥q,,990526,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B33¨ä¥L»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B259¨ä¥Lª÷ÄÝ»s«~¡B339¥¼¤ÀÃþ¨ä¥L»s«~
©|êM¤u·~ªÑ¥÷¦³­­¤½¥q,99625988,7.11E+12,®ç¶é¥«Äª¦Ë°ÏÄª¦Ë¨½Äª¦Ëµó¢°¢³¢¶¸¹,®ç¶é¥«Äª¦Ë°ÏÄª¦Ë¨½,¶À¤å©¾,7692627,ªÑ¥÷¦³­­¤½¥q,710609,790910,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó¡B254ª÷ÄÝ¥[¤u³B²z
«Âµn¸ê·½¦^¦¬ªÑ¥÷¦³­­¤½¥q,68004058,,®ç¶é¥«Äª¦Ë°Ï®ü´ò¨½®ü´òªF¸ô151¸¹,®ç¶é¥«Äª¦Ë°Ï®ü´ò¨½,¤ý¸ÎÀ³,28738846,ªÑ¥÷¦³­­¤½¥q,,1100415,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¨Î¥@ÄË¥ø·~¦³­­¤½¥q,3002597,,®ç¶é¥«·¨±ö°Ï·ç­ì¨½¥Á´I¸ô¤@¬q796«Ñ100¸¹,®ç¶é¥«·¨±ö°Ï·ç­ì¨½,§õ´Â¤å,54338634,ªÑ¥÷¦³­­¤½¥q,,1031205,¥Í²£¤¤,11¯¼Â´·~,114¬V¾ã
µØ»ú¹ê·~¦³­­¤½¥q,65010481,,·s¥_¥«²H¤ô°Ï¤K¶Õ¨½¤¤¥¿ªF¸ô2¬q27¤§8¸¹2¼Ó,·s¥_¥«²H¤ô°Ï¤K¶Õ¨½,§õ¹ç,22033672,¦³­­¤½¥q,,1110630,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,269¨ä¥L¹q¤l¹s²Õ¥ó
±d¹F¥Í©R¬ì¾Ç¦³­­¤½¥q®ç¶é«n®r¼t,68005054,,®ç¶é¥«Äª¦Ë°Ïªø¿³¨½«n®r¸ô¤G¬q125¤§1¸¹,®ç¶é¥«Äª¦Ë°Ïªø¿³¨½,§d©§ÀB,27965370,¦³­­¤½¥q,,1110926,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
«a°Ã²°À\­¹«~ªÑ¥÷¦³­­¤½¥q,63021888,,»O¥_¥«¤º´ò°Ï¦è±d¨½¤º´ò¸ô¤@¬q¤E¤Q¤@«Ñ¤T¤Q¤K§Ë¤­¡B¤C¸¹¤@¼Ó,»O¥_¥«¤º´ò°Ï¦è±d¨½,°ªºú¦ö,80189309,ªÑ¥÷¦³­­¤½¥q,,930913,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
·¸²»¥ø·~¦³­­¤½¥q¤G¼t,S0701686,,¹ü¤Æ¿¤ºÖ¿³¶mÂí¥­§øÂí¥­µó21¤§23¸¹,¹ü¤Æ¿¤ºÖ¿³¶mÂí¥­§ø,¤ý³Õ¥Á,89673937,¦³­­¤½¥q,,1110511,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B253ª÷ÄÝ®e¾¹¡B259¨ä¥Lª÷ÄÝ»s«~
Â×ºX¥ø·~¦³­­¤½¥q¤G¼t,S0700771,,¹ü¤Æ¿¤©M¬üÂí¤¤³ò¨½¹ü·s¸ô¤T¬q349¸¹,¹ü¤Æ¿¤©M¬üÂí¤¤³ò¨½,ªL¥K©ú,86745606,¦³­­¤½¥q,,1090630,¥Í²£¤¤,08­¹«~»s³y·~,087°Êª«¹}«~
­ì©_¤u·~ªÑ¥÷¦³­­¤½¥q,99652324,8.41E+12,«n§ë¿¤«n§ë¥«¥­¤s¨½¤¯©M¸ô¤@¤K¸¹,«n§ë¿¤«n§ë¥«¥­¤s¨½,¶Àª÷³¹,61960326,ªÑ¥÷¦³­­¤½¥q,840814,841107,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B254ª÷ÄÝ¥[¤u³B²z¡B303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
ÑÔ´­ºë±K¦³­­¤½¥q¼w³Ó¼t,66009994,,»O¤¤¥«¤j¶®°Ï¶®·¬¨½¼w³Ó¸ô81¸¹1¼Ó,»O¤¤¥«¤j¶®°Ï¶®·¬¨½,©P§»¬F,85038246,¦³­­¤½¥q,,1110516,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
»·´º¥ú¾ÇªÑ¥÷¦³­­¤½¥q,5000409,,­]®ß¿¤¦Ë«nÂí¤½¸q¨½¸s¸q¸ô69¸¹,­]®ß¿¤¦Ë«nÂí¤½¸q¨½,¨H©ú¾W,56657513,ªÑ¥÷¦³­­¤½¥q,,1070212,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
¯q¤j²±ºë±K¤u·~¦³­­¤½¥q,99635735,8.91001E+12,»O¤¤¥«Ãú®p°Ï¦N®p¨½¦N®p¸ô¤»¤C«Ñ¤C¸¹,»O¤¤¥«Ãú®p°Ï¦N®p¨½,®}¤j¸U,70524780,¦³­­¤½¥q,890619,890622,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó
¬ÕÎë°ê»Ú¦³­­¤½¥q,S6601784,,»O¤¤¥«±ï´Ï°Ï¥Ã¦w¨½¤¤¥¡¸ô¤@¬q97-28¸¹,»O¤¤¥«±ï´Ï°Ï¥Ã¦w¨½,¤ý·¨¨q¬K,16964563,¦³­­¤½¥q,,1110525,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¹Å¤¹¶T©ö¦³­­¤½¥q,65010474,,·s¥_¥«·s²ø°Ï¤Æ¦¨¨½¤Æ¦¨¸ô113«Ñ70¸¹(2¼Ó),·s¥_¥«·s²ø°Ï¤Æ¦¨¨½,ª÷¬ê§Æ,85075396,¦³­­¤½¥q,,1110624,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
´­³Õ¬ì§ÞªÑ¥÷¦³­­¤½¥q¤G¼t,99621412,8.71E+12,®ç¶é¥«¤¤Ãc°Ï¤º©w¨½©w¦w¸ô¤­¸¹,®ç¶é¥«¤¤Ãc°Ï¤º©w¨½,Ä¬³Ó¸q,30929883,ªÑ¥÷¦³­­¤½¥q,871222,880623,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ
«a¶¶¯È·~¦³­­¤½¥q,65009792,,·s¥_¥«¤¤©M°ÏºÑªe¨½«Ø±d¸ô170¸¹1¼Ó,·s¥_¥«¤¤©M°ÏºÑªe¨½,³¢ºa»ö,29155283,¦³­­¤½¥q,,1100922,¥Í²£¤¤,15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~,152¥Ë·«¯ÈªO¤Î¯È®e¾¹
ÀAÂE¦r§Î¼s§i¦³­­¤½¥q,13000735,,«ÌªF¿¤«ÌªF¥«²M·Ë¨½«Ø°ê¸ô332«Ñ40¸¹,«ÌªF¿¤«ÌªF¥«²M·Ë¨½,©P·µ¶q,83480906,¦³­­¤½¥q,,1110517,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
ÂÂ®¶«n­¹«~ªÑ¥÷¦³­­¤½¥q·s¥Í¼t,90H00107,,°ª¶¯¥««eÂí°Ï©ú§µ¨½·s¥Í¸ô248-47¸¹4¼Ó,°ª¶¯¥««eÂí°Ï©ú§µ¨½,§õ¶¯¼y,27386978,ªÑ¥÷¦³­­¤½¥q,,1101207,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
ºë·çªÑ¥÷¦³­­¤½¥q,9001006,,¶³ªL¿¤¤æ¤»¥«ªê·Ë¨½¶³¬ì¸ô¤T¬q37¸¹,¶³ªL¿¤¤æ¤»¥«ªê·Ë¨½,³¯«Ø§»,24248875,ªÑ¥÷¦³­­¤½¥q,,1090702,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B33¨ä¥L»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B332ÂåÀø¾¹§÷¤Î¥Î«~
·sÁâ±j¥ø·~¦³­­¤½¥q,4001046,,·s¦Ë¿¤·sÂ×¶mºÖ¿³§ø7¾F¶ê¤s¤l119-1¸¹,·s¦Ë¿¤·sÂ×¶mºÖ¿³§ø,ªL»ñ¬K,53280085,¦³­­¤½¥q,,1110308,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
